Model,Epoch,Dataset,Is_Single_Class,Calibrated_Threshold,Optimized_Threshold,Threshold_Diff,Calibrated_F1,Optimized_F1,F1_Improvement,Calibrated_Brier,Optimized_Brier,Brier_Improvement
CNN_LSTM,20,Authors,No,0.80349900,0.03024443,-0.77325457,0.0,0.6666666666666667,0.6666666666666667,0.7753823504751878,0.7753823504751878,0.0
CNN_LSTM,20,UrbanSound,Yes,0.80349900,0.97958922,+0.17609022,,,,0.10036626835017744,0.10036626835017744,0.0
CNN_LSTM,20,Wonjun_Yi,Yes,0.80349900,0.36115417,-0.44234483,,,,0.002984212316392788,0.002984212316392788,0.0
CNN_LSTM,50,Fusion,No,0.80749900,0.02000024,-0.78749876,0.9075053760603703,0.977911200504338,0.0704058244439677,0.09479697098271264,0.09479697098271264,0.0
CNN_LSTM,50,CalibrationDataset,No,0.80749900,0.80749900,+0.00000000,0.8033550792171482,0.8033550792171482,0.0,0.12711407695329352,0.12711407695329352,0.0
CNN_LSTM,50,DronePrint,Yes,0.80749900,0.03235027,-0.77514873,,,,0.8466500477919584,0.8466500477919584,0.0
CNN_LSTM,50,Emo,Yes,0.80749900,0.28876451,-0.51873449,,,,0.025149357091978696,0.025149357091978696,0.0
CNN_LSTM,50,ESC-50,Yes,0.80749900,0.91363108,+0.10613208,,,,0.16098276050832977,0.16098276050832977,0.0
CNN_LSTM,50,H-2,Yes,0.80749900,0.02025351,-0.78724549,,,,0.8407545879817472,0.8407545879817472,0.0
CNN_LSTM,50,S&E,No,0.80749900,0.17770659,-0.62979241,0.0,0.0,0.0,0.2914010111951231,0.2914010111951231,0.0
CNN_LSTM,50,Authors,No,0.80749900,0.03870172,-0.76879728,0.0,0.5945945945945945,0.5945945945945945,0.7863889001551017,0.7863889001551017,0.0
CNN_LSTM,50,UrbanSound,Yes,0.80749900,0.97993878,+0.17243978,,,,0.09738280372501357,0.09738280372501357,0.0
CNN_LSTM,50,Wonjun_Yi,Yes,0.80749900,0.02000024,-0.78749876,,,,0.0640415676804239,0.0640415676804239,0.0
CNN_LSTM,5,Fusion,No,0.23200100,0.20545153,-0.02654947,0.9643431602470439,0.9664685830390639,0.002125422792019993,0.25564954911267473,0.25564954911267473,0.0
CNN_LSTM,5,CalibrationDataset,No,0.23200100,0.23392797,+0.00192697,0.7864992150706437,0.7871170463472114,0.0006178312765676708,0.19810119709850788,0.19810119709850788,0.0
CNN_LSTM,5,DronePrint,Yes,0.23200100,0.02209321,-0.20990779,,,,0.8610316502204726,0.8610316502204726,0.0
CNN_LSTM,5,Emo,Yes,0.23200100,0.50187271,+0.26987171,,,,0.025727268963867435,0.025727268963867435,0.0
CNN_LSTM,5,ESC-50,Yes,0.23200100,0.97498055,+0.74297955,,,,0.16520248322392242,0.16520248322392242,0.0
CNN_LSTM,5,H-2,Yes,0.23200100,0.02047198,-0.21152902,,,,0.8548159941928768,0.8548159941928768,0.0
CNN_LSTM,5,S&E,No,0.23200100,0.13924645,-0.09275455,0.0,0.0,0.0,0.2929852923741075,0.2929852923741075,0.0
CNN_LSTM,5,Authors,No,0.23200100,0.02819868,-0.20380232,0.07999999999999999,0.7317073170731708,0.6517073170731709,0.7830645544041879,0.7830645544041879,0.0
CNN_LSTM,5,UrbanSound,Yes,0.23200100,0.97997034,+0.74796934,,,,0.09340379360024642,0.09340379360024642,0.0
CNN_LSTM,5,Wonjun_Yi,Yes,0.23200100,0.20045371,-0.03154729,,,,0.2522223680533452,0.2522223680533452,0.0
Resnet_34,100,Fusion,No,0.00004600,0.30040691,+0.30036091,0.0013465468161254887,0.0003639849067591997,-0.000982561909366289,0.8898156292578481,0.8898156292578481,0.0
Resnet_34,100,CalibrationDataset_results_20251111_104036,No,0.00004600,0.72267072,+0.72262472,0.26,0.03486529318541997,-0.22513470681458003,0.37667783847037445,0.37667783847037445,0.0
Resnet_34,100,DronePrint_results_20251111_103538,Yes,0.00004600,0.08731642,+0.08727042,,,,0.9856620717338829,0.9856620717338829,0.0
Resnet_34,100,Emo_results_20251111_103606,Yes,0.00004600,0.00004600,+0.00000000,,,,4.6312569103e-07,4.6312569103e-07,0.0
Resnet_34,100,ESC-50_results_20251111_103640,Yes,0.00004600,0.88765625,+0.88761025,,,,0.002121203539770268,0.002121203539770268,0.0
Resnet_34,100,H-2_results_20251111_102817,Yes,0.00004600,0.00004600,+0.00000000,,,,0.9999529530555098,0.9999529530555098,0.0
Resnet_34,100,S&E_results_20251111_103556,No,0.00004600,0.95767104,+0.95762504,0.5365853658536586,0.5333333333333333,-0.003252032520325243,0.24865337805173127,0.24865337805173127,0.0
Resnet_34,100,Tapio_results_20251111_103554,No,0.00004600,0.05877855,+0.05873255,0.8695652173913043,0.5294117647058825,-0.34015345268542185,0.67668138865494,0.67668138865494,0.0
Resnet_34,100,UrbanSound_results_20251111_103906,Yes,0.00004600,0.97787941,+0.97783341,,,,0.02698433002738942,0.02698433002738942,0.0
Resnet_34,100,Wonjun_Yi,Yes,0.00004600,0.00004600,+0.00000000,,,,1.0,1.0,0.0
Resnet_34,10,Fusion,No,0.49950000,0.97733548,+0.47783548,0.06532563234415455,0.06535851747753038,3.288513337583454e-05,0.9639210465958902,0.9639210465958902,0.0
Resnet_34,10,CalibrationDataset_results_20251111_102556,No,0.49950000,0.49950000,+0.00000000,0.13594470046082952,0.13594470046082952,0.0,0.927070457373543,0.927070457373543,0.0
Resnet_34,10,DronePrint_results_20251111_102058,Yes,0.49950000,0.49950000,+0.00000000,,,,0.0,0.0,0.0
Resnet_34,10,Emo_results_20251111_102126,Yes,0.49950000,0.49950000,+0.00000000,,,,1.0,1.0,0.0
Resnet_34,10,ESC-50_results_20251111_102200,Yes,0.49950000,0.49950000,+0.00000000,,,,1.0,1.0,0.0
Resnet_34,10,H-2_results_20251111_101336,Yes,0.49950000,0.49950000,+0.00000000,,,,0.0,0.0,0.0
Resnet_34,10,S&E_results_20251111_102116,No,0.49950000,0.49950000,+0.00000000,0.5066666666666666,0.5066666666666666,0.0,0.6607146109118313,0.6607146109118313,0.0
Resnet_34,10,Tapio_results_20251111_102113,No,0.49950000,0.49950000,+0.00000000,0.9411764705882353,0.9411764705882353,0.0,0.1111111111111111,0.1111111111111111,0.0
Resnet_34,10,UrbanSound_results_20251111_102426,Yes,0.49950000,0.97733548,+0.47783548,,,,0.9734571818167737,0.9734571818167737,0.0
Resnet_34,10,Wonjun_Yi,Yes,0.49950000,0.49950000,+0.00000000,,,,1.0,1.0,0.0
Resnet_34,1,Fusion,No,0.99720400,0.97618055,-0.02102345,0.06545492750577851,0.0654127130741456,-4.221443163290872e-05,0.9638586061020753,0.9638586061020753,0.0
Resnet_34,1,CalibrationDataset_results_20251111_101115,No,0.99720400,0.96616160,-0.03104240,0.13748531139835488,0.1372093023255814,-0.0002760090727734754,0.9253338686604767,0.9253338686604767,0.0
Resnet_34,1,DronePrint_results_20251111_100611,Yes,0.99720400,0.99720400,+0.00000000,,,,0.0,0.0,0.0
Resnet_34,1,Emo_results_20251111_100639,Yes,0.99720400,0.99720400,+0.00000000,,,,1.0,1.0,0.0
Resnet_34,1,ESC-50_results_20251111_100713,Yes,0.99720400,0.96172004,-0.03548396,,,,0.9993459394251117,0.9993459394251117,0.0
Resnet_34,1,H-2_results_20251111_095844,Yes,0.99720400,0.99720400,+0.00000000,,,,0.0,0.0,0.0
Resnet_34,1,S&E_results_20251111_100629,No,0.99720400,0.97618055,-0.02102345,0.48648648648648646,0.5066666666666666,0.02018018018018014,0.6607244172535411,0.6607244172535411,0.0
Resnet_34,1,Tapio_results_20251111_100627,No,0.99720400,0.99720400,+0.00000000,0.9411764705882353,0.9411764705882353,0.0,0.1111111111111111,0.1111111111111111,0.0
Resnet_34,1,UrbanSound_results_20251111_100939,Yes,0.99720400,0.97930469,-0.01789931,,,,0.9728948592524155,0.9728948592524155,0.0
Resnet_34,1,Wonjun_Yi,Yes,0.99720400,0.99720400,+0.00000000,,,,1.0,1.0,0.0
Resnet_34,20,Fusion,No,0.00015900,0.44168393,+0.44152493,0.017620124036399468,0.0003643341186757669,-0.0172557899177237,0.8893190075313586,0.8893190075313586,0.0
Resnet_34,20,CalibrationDataset_results_20251111_105517,No,0.00015900,0.42797024,+0.42781124,0.22287390029325516,0.0313971742543171,-0.19147672603893806,0.3793965886362323,0.3793965886362323,0.0
Resnet_34,20,DronePrint_results_20251111_105020,Yes,0.00015900,0.10242225,+0.10226325,,,,0.9231091617752943,0.9231091617752943,0.0
Resnet_34,20,Emo_results_20251111_105048,Yes,0.00015900,0.09544689,+0.09528789,,,,4.8145506823261637e-05,4.8145506823261637e-05,0.0
Resnet_34,20,ESC-50_results_20251111_105121,Yes,0.00015900,0.69190611,+0.69174711,,,,0.001910979542854322,0.001910979542854322,0.0
Resnet_34,20,H-2_results_20251111_104258,Yes,0.00015900,0.02102425,+0.02086525,,,,0.9995621473414746,0.9995621473414746,0.0
Resnet_34,20,S&E_results_20251111_105038,No,0.00015900,0.23854717,+0.23838817,0.5333333333333333,0.5714285714285714,0.03809523809523807,0.21720965053132632,0.21720965053132632,0.0
Resnet_34,20,Tapio_results_20251111_105035,No,0.00015900,0.10611595,+0.10595695,0.8372093023255814,0.5294117647058825,-0.30779753761969897,0.6172009379650758,0.6172009379650758,0.0
Resnet_34,20,UrbanSound_results_20251111_105347,Yes,0.00015900,0.97485723,+0.97469823,,,,0.022144762647131482,0.022144762647131482,0.0
Resnet_34,20,Wonjun_Yi,Yes,0.00015900,0.00015900,+0.00000000,,,,1.0,1.0,0.0
Resnet_34,50,Fusion,No,0.00004500,0.62591548,+0.62587048,0.0011326230842742364,0.00031631324744212075,-0.0008163098368321156,0.8884066300537564,0.8884066300537564,0.0
Resnet_34,50,CalibrationDataset_results_20251111_112905,No,0.00004500,0.76925025,+0.76920525,0.26145251396648045,0.028526148969889066,-0.2329263649965914,0.38000830612315717,0.38000830612315717,0.0
Resnet_34,50,DronePrint_results_20251111_112306,Yes,0.00004500,0.20995797,+0.20991297,,,,0.8868488338085343,0.8868488338085343,0.0
Resnet_34,50,Emo_results_20251111_112344,Yes,0.00004500,0.00004500,+0.00000000,,,,3.095786884594594e-09,3.095786884594594e-09,0.0
Resnet_34,50,ESC-50_results_20251111_112433,Yes,0.00004500,0.82356771,+0.82352271,,,,0.0008109462955371839,0.0008109462955371839,0.0
Resnet_34,50,H-2_results_20251111_111337,Yes,0.00004500,0.00004500,+0.00000000,,,,0.9999553991900718,0.9999553991900718,0.0
Resnet_34,50,S&E_results_20251111_112330,No,0.00004500,0.21642950,+0.21638450,0.47368421052631576,0.4799999999999999,0.0063157894736841635,0.24320024025485817,0.24320024025485817,0.0
Resnet_34,50,Tapio_results_20251111_112326,No,0.00004500,0.18472602,+0.18468102,0.8695652173913043,0.5,-0.3695652173913043,0.6230923258772024,0.6230923258772024,0.0
Resnet_34,50,UrbanSound_results_20251111_112727,Yes,0.00004500,0.96432356,+0.96427856,,,,0.011944175786676173,0.011944175786676173,0.0
Resnet_34,50,Wonjun_Yi,Yes,0.00004500,0.00004500,+0.00000000,,,,1.0,1.0,0.0
Resnet_34,5,Fusion,No,0.49650000,0.97700664,+0.48050664,0.06530304300444295,0.06533385052470463,3.080752026167477e-05,0.9643057920198348,0.9643057920198348,0.0
Resnet_34,5,CalibrationDataset_results_20251111_111100,No,0.49650000,0.49650000,+0.00000000,0.13594470046082952,0.13594470046082952,0.0,0.9270703590156042,0.9270703590156042,0.0
Resnet_34,5,DronePrint_results_20251111_110532,Yes,0.49650000,0.49650000,+0.00000000,,,,0.0,0.0,0.0
Resnet_34,5,Emo_results_20251111_110602,Yes,0.49650000,0.49650000,+0.00000000,,,,1.0,1.0,0.0
Resnet_34,5,ESC-50_results_20251111_110640,Yes,0.49650000,0.49650000,+0.00000000,,,,1.0,1.0,0.0
Resnet_34,5,H-2_results_20251111_105739,Yes,0.49650000,0.49650000,+0.00000000,,,,0.0,0.0,0.0
Resnet_34,5,S&E_results_20251111_110552,No,0.49650000,0.49650000,+0.00000000,0.5066666666666666,0.5066666666666666,0.0,0.6607142858938945,0.6607142858938945,0.0
Resnet_34,5,Tapio_results_20251111_110549,No,0.49650000,0.49650000,+0.00000000,0.9411764705882353,0.9411764705882353,0.0,0.1111111111111111,0.1111111111111111,0.0
Resnet_34,5,UrbanSound_results_20251111_110923,Yes,0.49650000,0.97700664,+0.48050664,,,,0.977732184515192,0.977732184515192,0.0
Resnet_34,5,Wonjun_Yi,Yes,0.49650000,0.49650000,+0.00000000,,,,1.0,1.0,0.0
Wav2Vec2_AllAugments,1,CalibrationDataset,No,0.21487400,0.22794329,+0.01306929,0.19845857418111754,0.19870410367170624,0.0002455294905887029,0.3188404492119015,0.3188404492119015,0.0
Wav2Vec2_AllAugments,1,DronePrint,Yes,0.21487400,0.27578460,+0.06091060,,,,0.44061193520269387,0.44061193520269387,0.0
Wav2Vec2_AllAugments,1,Emo,Yes,0.21487400,0.33968282,+0.12480882,,,,0.05005909244633828,0.05005909244633828,0.0
Wav2Vec2_AllAugments,1,ESC-50,Yes,0.21487400,0.51838980,+0.30351580,,,,0.03576006344666843,0.03576006344666843,0.0
Wav2Vec2_AllAugments,1,Fusion,No,0.21487400,0.17238262,-0.04249138,0.0586683115725986,0.06695308921989837,0.00828477764729977,0.7328366642411375,0.7328366642411375,0.0
