Model,Epoch,Dataset,Is_Single_Class,Calibrated_Threshold,Optimized_Threshold,Threshold_Diff,Calibrated_F1,Optimized_F1,F1_Improvement,Calibrated_Brier,Optimized_Brier,Brier_Improvement
CNN_LSTM,20,Wonjun_Yi,Yes,0.80349900,0.36115417,-0.44234483,nan,nan,+nan,0.0030,0.0030,+0.0000
CNN_LSTM,50,CalibrationDataset,No,0.80749900,0.80749900,+0.00000000,0.8034,0.8034,+0.0000,0.1271,0.1271,+0.0000
CNN_LSTM,50,DronePrint,Yes,0.80749900,0.03235027,-0.77514873,nan,nan,+nan,0.8467,0.8467,+0.0000
CNN_LSTM,50,Emo,Yes,0.80749900,0.28876451,-0.51873449,nan,nan,+nan,0.0251,0.0251,+0.0000
CNN_LSTM,50,ESC-50,Yes,0.80749900,0.91363108,+0.10613208,nan,nan,+nan,0.1610,0.1610,+0.0000
CNN_LSTM,50,Fusion,No,0.80749900,0.02000024,-0.78749876,0.9075,0.9779,+0.0704,0.0948,0.0948,+0.0000
CNN_LSTM,50,H-2,Yes,0.80749900,0.02025351,-0.78724549,nan,nan,+nan,0.8408,0.8408,+0.0000
CNN_LSTM,50,S&E,No,0.80749900,0.17770659,-0.62979241,0.0000,0.0000,+0.0000,0.2914,0.2914,+0.0000
CNN_LSTM,50,Authors,No,0.80749900,0.03870172,-0.76879728,0.0000,0.5946,+0.5946,0.7864,0.7864,+0.0000
CNN_LSTM,50,UrbanSound,Yes,0.80749900,0.97993878,+0.17243978,nan,nan,+nan,0.0974,0.0974,+0.0000
CNN_LSTM,50,Wonjun_Yi,Yes,0.80749900,0.02000024,-0.78749876,nan,nan,+nan,0.0640,0.0640,+0.0000
CNN_LSTM,5,CalibrationDataset,No,0.23200100,0.23392797,+0.00192697,0.7865,0.7871,+0.0006,0.1981,0.1981,+0.0000
CNN_LSTM,5,DronePrint,Yes,0.23200100,0.02209321,-0.20990779,nan,nan,+nan,0.8610,0.8610,+0.0000
CNN_LSTM,5,Emo,Yes,0.23200100,0.50187271,+0.26987171,nan,nan,+nan,0.0257,0.0257,+0.0000
CNN_LSTM,5,ESC-50,Yes,0.23200100,0.97498055,+0.74297955,nan,nan,+nan,0.1652,0.1652,+0.0000
CNN_LSTM,5,Fusion,No,0.23200100,0.20545153,-0.02654947,0.9643,0.9665,+0.0021,0.2556,0.2556,+0.0000
CNN_LSTM,5,H-2,Yes,0.23200100,0.02047198,-0.21152902,nan,nan,+nan,0.8548,0.8548,+0.0000
CNN_LSTM,5,S&E,No,0.23200100,0.13924645,-0.09275455,0.0000,0.0000,+0.0000,0.2930,0.2930,+0.0000
CNN_LSTM,5,Authors,No,0.23200100,0.02819868,-0.20380232,0.0800,0.7317,+0.6517,0.7831,0.7831,+0.0000
CNN_LSTM,5,UrbanSound,Yes,0.23200100,0.97997034,+0.74796934,nan,nan,+nan,0.0934,0.0934,+0.0000
CNN_LSTM,5,Wonjun_Yi,Yes,0.23200100,0.20045371,-0.03154729,nan,nan,+nan,0.2522,0.2522,+0.0000
Resnet_34,100,CalibrationDataset,No,0.00004600,0.72267072,+0.72262472,0.2600,0.0349,-0.2251,0.3767,0.3767,+0.0000
Resnet_34,100,DronePrint,Yes,0.00004600,0.08731642,+0.08727042,nan,nan,+nan,0.9857,0.9857,+0.0000
Resnet_34,100,Emo,Yes,0.00004600,0.00004600,+0.00000000,nan,nan,+nan,0.0000,0.0000,+0.0000
Resnet_34,100,ESC-50,Yes,0.00004600,0.88765625,+0.88761025,nan,nan,+nan,0.0021,0.0021,+0.0000
Resnet_34,100,Fusion,No,0.00004600,0.30040691,+0.30036091,0.0013,0.0004,-0.0010,0.8898,0.8898,+0.0000
Resnet_34,100,H-2,Yes,0.00004600,0.00004600,+0.00000000,nan,nan,+nan,1.0000,1.0000,+0.0000
Resnet_34,100,S&E,No,0.00004600,0.95767104,+0.95762504,0.5366,0.5333,-0.0033,0.2487,0.2487,+0.0000
Resnet_34,100,Authors,No,0.00004600,0.05877855,+0.05873255,0.8696,0.5294,-0.3402,0.6767,0.6767,+0.0000
Resnet_34,100,UrbanSound,Yes,0.00004600,0.97787941,+0.97783341,nan,nan,+nan,0.0270,0.0270,+0.0000
Resnet_34,100,Wonjun_Yi,Yes,0.00004600,0.00004600,+0.00000000,nan,nan,+nan,1.0000,1.0000,+0.0000
Resnet_34,10,CalibrationDataset,No,0.49950000,0.49950000,+0.00000000,0.1359,0.1359,+0.0000,0.9271,0.9271,+0.0000
Resnet_34,10,DronePrint,Yes,0.49950000,0.49950000,+0.00000000,nan,nan,+nan,0.0000,0.0000,+0.0000
Resnet_34,10,Emo,Yes,0.49950000,0.49950000,+0.00000000,nan,nan,+nan,1.0000,1.0000,+0.0000
Resnet_34,10,ESC-50,Yes,0.49950000,0.49950000,+0.00000000,nan,nan,+nan,1.0000,1.0000,+0.0000
Resnet_34,10,Fusion,No,0.49950000,0.97733548,+0.47783548,0.0653,0.0654,+0.0000,0.9639,0.9639,+0.0000
Resnet_34,10,H-2,Yes,0.49950000,0.49950000,+0.00000000,nan,nan,+nan,0.0000,0.0000,+0.0000
Resnet_34,10,S&E,No,0.49950000,0.49950000,+0.00000000,0.5067,0.5067,+0.0000,0.6607,0.6607,+0.0000
Resnet_34,10,Authors,No,0.49950000,0.49950000,+0.00000000,0.9412,0.9412,+0.0000,0.1111,0.1111,+0.0000
Resnet_34,10,UrbanSound,Yes,0.49950000,0.97733548,+0.47783548,nan,nan,+nan,0.9735,0.9735,+0.0000
Resnet_34,10,Wonjun_Yi,Yes,0.49950000,0.49950000,+0.00000000,nan,nan,+nan,1.0000,1.0000,+0.0000
Resnet_34,1,CalibrationDataset,No,0.99720400,0.96616160,-0.03104240,0.1375,0.1372,-0.0003,0.9253,0.9253,+0.0000
Resnet_34,1,DronePrint,Yes,0.99720400,0.99720400,+0.00000000,nan,nan,+nan,0.0000,0.0000,+0.0000
